Trade Index,Entry Time,Entry Price,Entry Direction,Exit Time,Exit Price,MFE,MFE Time,MAE,MAE Time,Profit
1,2013-09-06 15:03:00,94.154,S,2013-09-13 10:26:00,93.804,0.66,2013-09-11 14:33:00,0.046,2013-09-06 15:11:00,0.35
2,2013-09-13 10:26:00,93.804,B,2013-09-13 10:59:00,93.712,0.04,2013-09-13 10:31:00,0.126,2013-09-13 10:58:00,-0.092
3,2013-09-13 10:59:00,93.712,S,2013-09-16 09:17:00,93.892,0.00800000000001,2013-09-13 11:00:00,0.226,2013-09-16 09:16:00,-0.18
4,2013-09-16 09:17:00,93.892,B,2013-09-18 13:38:00,94.166,0.666,2013-09-17 11:28:00,0.086,2013-09-16 10:27:00,0.274
5,2013-09-18 13:38:00,94.166,S,2013-09-23 09:17:00,94.452,0.066,2013-09-18 13:42:00,0.426,2013-09-23 09:16:00,-0.286
6,2013-09-23 09:17:00,94.452,B,2013-09-24 09:45:00,94.294,0.048,2013-09-23 09:24:00,0.192,2013-09-24 09:44:00,-0.158
7,2013-09-24 09:45:00,94.294,S,2013-09-25 10:07:00,94.45,0.052,2013-09-24 10:32:00,0.172,2013-09-25 10:06:00,-0.156
8,2013-09-25 10:07:00,94.45,B,2013-10-08 09:16:00,94.54,0.162,2013-09-26 15:04:00,0.148,2013-09-27 09:22:00,0.09
9,2013-10-08 09:16:00,94.54,S,2013-10-10 09:17:00,94.414,0.258,2013-10-09 09:51:00,0,2013-10-08 09:16:00,0.126
10,2013-10-10 09:17:00,94.414,B,2013-10-10 14:00:00,94.334,0.01,2013-10-10 09:19:00,0.084,2013-10-10 13:44:00,-0.08
11,2013-10-10 14:00:00,94.334,S,2013-10-21 09:24:00,93.93,0.522,2013-10-18 09:16:00,0.036,2013-10-10 15:01:00,0.404
12,2013-10-21 09:24:00,93.93,B,2013-10-21 11:12:00,93.86,0.00999999999999,2013-10-21 09:25:00,0.078,2013-10-21 11:11:00,-0.07
13,2013-10-21 11:12:00,93.86,S,2013-10-23 10:25:00,93.8,0.174,2013-10-23 09:16:00,0.016,2013-10-21 14:29:00,0.06
14,2013-10-23 10:25:00,93.8,B,2013-10-24 09:21:00,93.764,0.05,2013-10-23 10:27:00,0.052,2013-10-24 09:20:00,-0.036
15,2013-10-24 09:21:00,93.764,S,2013-10-25 11:07:00,93.658,0.258,2013-10-25 09:47:00,0.012,2013-10-24 09:31:00,0.106
16,2013-10-25 11:07:00,93.658,B,2013-10-29 09:17:00,93.66,0.1,2013-10-28 11:04:00,0.076,2013-10-25 13:19:00,0.002
17,2013-10-29 09:17:00,93.66,S,2013-11-04 13:50:00,93.56,0.208,2013-10-30 10:24:00,0.26,2013-11-01 09:31:00,0.1
18,2013-11-04 13:50:00,93.56,B,2013-11-04 14:02:00,93.586,0.04,2013-11-04 13:55:00,0.016,2013-11-04 13:51:00,0.026
19,2013-11-04 14:02:00,93.586,S,2013-11-06 09:17:00,93.498,0.198,2013-11-05 11:23:00,0.1,2013-11-04 14:59:00,0.088
20,2013-11-06 09:17:00,93.498,B,2013-11-06 11:07:00,93.408,0.002,2013-11-06 09:18:00,0.096,2013-11-06 11:06:00,-0.09
21,2013-11-06 11:07:00,93.408,S,2013-11-18 14:09:00,91.41,2.442,2013-11-18 09:18:00,0.03,2013-11-07 09:17:00,1.998
22,2013-11-18 14:09:00,91.41,B,2013-11-19 13:54:00,91.254,0.232,2013-11-19 09:17:00,0.174,2013-11-19 13:53:00,-0.156
23,2013-11-19 13:54:00,91.254,S,2013-11-21 09:17:00,91.24,0.454,2013-11-20 09:16:00,0.00399999999999,2013-11-19 13:55:00,0.014
24,2013-11-21 09:17:00,91.24,B,2013-11-25 10:17:00,91.296,0.618,2013-11-25 09:16:00,0.084,2013-11-21 09:56:00,0.056
25,2013-11-25 10:17:00,91.296,S,2013-11-26 09:20:00,91.378,0.09,2013-11-26 09:16:00,0.104,2013-11-26 09:19:00,-0.082
26,2013-11-26 09:20:00,91.378,B,2013-11-26 10:18:00,91.232,0,2013-11-26 09:20:00,0.268,2013-11-26 09:35:00,-0.146
27,2013-11-26 10:18:00,91.232,S,2013-11-27 09:19:00,91.438,0.048,2013-11-26 10:31:00,0.31,2013-11-27 09:16:00,-0.206
28,2013-11-27 09:19:00,91.438,B,2013-12-02 09:37:00,92.228,1.362,2013-11-29 09:37:00,0.012,2013-11-27 09:20:00,0.79
29,2013-12-02 09:37:00,92.228,S,2013-12-03 10:32:00,92.186,0.378,2013-12-03 09:25:00,0.05,2013-12-02 09:38:00,0.042
30,2013-12-03 10:32:00,92.186,B,2013-12-05 10:04:00,92.196,0.448,2013-12-04 11:17:00,0.276,2013-12-05 09:31:00,0.00999999999999
31,2013-12-05 10:04:00,92.196,S,2013-12-09 09:17:00,91.998,0.44,2013-12-06 09:16:00,0.05,2013-12-05 10:05:00,0.198
32,2013-12-09 09:17:00,91.998,B,2013-12-09 09:27:00,91.86,0,2013-12-09 09:17:00,0.192,2013-12-09 09:26:00,-0.138
33,2013-12-09 09:27:00,91.86,S,2013-12-11 13:27:00,91.48,0.676,2013-12-11 09:17:00,0.028,2013-12-09 09:37:00,0.38
34,2013-12-11 13:27:00,91.48,B,2013-12-16 13:50:00,91.528,0.566,2013-12-13 09:26:00,0.208,2013-12-11 14:06:00,0.048
